INHIBITION_OF_VOLTAGE_GATED_CD_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,NEURONAL_SYSTEM,POTASSIUM_CHANNELS,TRANSMISSION_ACROSS_CHEMICAL_AL_SYNAPSES,GPCR_DOWNSTREAM_SIGNALING,SLC_MEDIATED_TRANSMEMBRANE_TR_TRANSPORT,NEUROTRANSMITTER_RECEPTOR_BINBINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,RAS_ACTIVATION_UOPN_CA2_INFUXFUX_THROUGH_NMDA_RECEPTOR,SIGNALING_BY_GPCR
,CHRNA5,KCNH5,CHRNA7,AVP,SLC13A5,GABBR1,,AVP
,CHRNA6,KCNH6,CHRNA9,AVPR1A,SLC14A1,GABBR2,,AVPR1A
,CHRNA7,KCNH7,CHRNB2,AVPR1B,SLC14A2,GABRA1,,AVPR1B
,CHRNA9,KCNH8,CHRNB3,AVPR2,SLC15A1,GABRA2,,AVPR2
,CHRNB2,KCNJ1,CHRNB4,BDKRB1,SLC15A2,GABRA3,,BDKRB1
,CHRNB3,KCNJ10,CHRND,BDKRB2,SLC15A3,GABRA4,,BDKRB2
,CHRNB4,KCNJ11,CHRNE,BRS3,SLC15A4,GABRA5,,BRS3
,CHRND,KCNJ12,CHRNG,C3,SLC16A1,GABRA6,,C3
,CHRNE,KCNJ14,COMT,C3AR1,SLC16A10,GABRB1,,C3AR1
,CHRNG,KCNJ15,CREB1,C5,SLC16A3,GABRB2,,C5
,COMT,KCNJ16,DLG1,C5AR1,SLC16A7,GABRB3,,C5AR1
,CREB1,KCNJ2,DLG3,CALCA,SLC16A8,GABRG2,,CALCA
,DLG1,KCNJ3,DNAJC5,CALCB,SLC17A1,GABRG3,,CALCB
,DLG3,KCNJ4,EPB41L1,CALCRL,SLC17A5,GABRR1,,CALCRL
,DNAJC5,KCNJ5,GABBR1,CASR,SLC17A6,GABRR2,,CALM1
,EPB41L1,KCNJ6,GABBR2,CCK,SLC17A7,GNAI1,,CALM2
,GABBR1,KCNJ8,GABRA1,CCKAR,SLC17A8,GNAI2,,CALM3
,GABBR2,KCNJ9,GABRA2,CCKBR,SLC18A1,GNAI3,,CAMK4
,GABRA1,KCNK1,GABRA3,CCL16,SLC18A2,GNAL,,CASR
,GABRA2,KCNK10,GABRA4,CCL19,SLC1A1,GNB1,,CCBP2
,GABRA3,KCNK13,GABRA5,CCL20,SLC1A2,GNB2,,CCK
,GABRA4,KCNK16,GABRA6,CCL21,SLC1A3,GNB3,,CCKAR
,GABRA5,KCNK17,GABRB1,CCL25,SLC1A4,GNB4,,CCKBR
,GABRA6,KCNK18,GABRB2,CCL27,SLC1A5,GNB5,,CCL11
,GABRB1,KCNK2,GABRB3,CCL28,SLC1A6,GNG10,,CCL16
,GABRB2,KCNK3,GABRG2,CCL5,SLC1A7,GNG11,,CCL17
,GABRB3,KCNK4,GABRG3,CCR1,SLC20A1,GNG12,,CCL19
,GABRG2,KCNK6,GABRR1,CCR10,SLC20A2,GNG13,,CCL2
